message,label
Congratulations! You won a free iPhone,spam
Claim your reward now,spam
Win cash prize today,spam
Free entry in contest,spam
Limited time offer,spam
Urgent! Your account is blocked,spam
Click here to claim prize,spam
Earn money from home,spam
You have won a lottery,spam
Exclusive deal just for you,spam

Call me when you arrive,ham
Let's meet tomorrow,ham
How are you doing?,ham
See you at college,ham
Good morning friend,ham
Where are you now?,ham
Can you send the notes?,ham
Happy Birthday!,ham
Let's have lunch together,ham
I will call you later,ham
